run_id,case,asset,period,system,scenario,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,total_trades,win_rate_pct
GOLD_AI_2008_2009_S1,GOLD_2008-2009,GOLD,2008-2009,LLM,S1,-6.705027607678709,14.279483476126515,-0.7055287438424782,-0.9098930593306824,106,32.075471698113205
GOLD_AI_2020_2021_S1,GOLD_2020-2021,GOLD,2020-2021,LLM,S1,-9.459773392084331,11.492704350045365,-1.0320763412167135,-1.3342171919668666,91,35.16483516483517
GOLD_AI_2022_2023_S1,GOLD_2022-2023,GOLD,2022-2023,LLM,S1,5.1691221283107325,8.840920629064401,0.6309432595357279,0.96507536079526,96,39.58333333333333
GOLD_BACKTEST_2024_2025_S1,GOLD_2024-2025,GOLD,2024-2025,LLM,S1,8.979587421184487,5.808842205785253,0.665081890385212,0.9498656134363271,141,42.5531914893617
AAPL_BACKTEST_2008_2009_S2,AAPL_2008-2009,AAPL,2008-2009,LLM,S2,-3.9258090774323247,3.9258090774323247,-1.8952492797210918,-1.9793942854273727,12,16.666666666666664
AAPL_BACKTEST_2020_2021_S2,AAPL_2020-2021,AAPL,2020-2021,LLM,S2,1.9593531179219783,5.617767414124186,0.31301140118507914,0.43587268794665546,72,36.11111111111111
AAPL_BACKTEST_2022_2023_S2,AAPL_2022-2023,AAPL,2022-2023,LLM,S2,0.10552405662161847,2.4337027727423335,0.04583368831829799,0.06733085463715294,18,27.77777777777778
AAPL_BACKTEST_2024_2025_S2,AAPL_2024-2025,AAPL,2024-2025,LLM,S2,-2.4814642061913106,7.663801914775588,-0.35957316497795094,-0.4773506167348069,50,34.0
GOLD_AI_2008_2009_S2,GOLD_2008-2009,GOLD,2008-2009,LLM,S2,-1.8438401044621175,7.3421935477053255,-0.1478089866374606,-0.19862970498158045,119,36.97478991596639
GOLD_AI_2020_2021_S2,GOLD_2020-2021,GOLD,2020-2021,LLM,S2,-13.253282826630402,14.442162152182725,-1.9593164093450466,-2.3263996749456486,51,25.49019607843137
GOLD_AI_2022_2023_S2,GOLD_2022-2023,GOLD,2022-2023,LLM,S2,-8.572814907616543,8.772350163189865,-2.5338307260357458,-2.685555055214576,20,15.0
GOLD_BACKTEST_2024_2025_S2,GOLD_2024-2025,GOLD,2024-2025,LLM,S2,-4.4834841422690035,9.360129048731851,-0.34173848421842834,-0.4582599342069468,105,40.95238095238095
AAPL_RMDB_2008_2009_S0,AAPL_2008-2009,AAPL,2008-2009,RMDB,S0,-0.17041117968516348,6.367749854337518,0.007740574227718161,0.010738480382191577,56,42.857142857142854
AAPL_RMDB_2020_2021_S0,AAPL_2020-2021,AAPL,2020-2021,RMDB,S0,-1.4346581821853988,9.087653254869256,-0.09831686542667552,-0.13547735158043148,96,41.66666666666667
AAPL_RMDB_2022_2023_S0,AAPL_2022-2023,AAPL,2022-2023,RMDB,S0,-10.05404902511566,10.5966649898411,-1.074048066943566,-1.4548006982060773,82,34.146341463414636
AAPL_RMDB_2024_2025_S0,AAPL_2024-2025,AAPL,2024-2025,RMDB,S0,-7.704105536318321,9.75373711296106,-0.9606981523247575,-1.3395852962117913,58,31.03448275862069
GOLD_RMDB_2008_2009_S0,GOLD_2008-2009,GOLD,2008-2009,RMDB,S0,-0.17041117968516348,6.367749854337518,0.007740574227718161,0.010738480382191577,61,36.0655737704918
GOLD_RMDB_2020_2021_S0,GOLD_2020-2021,GOLD,2020-2021,RMDB,S0,-1.4346581821853988,9.087653254869256,-0.09831686542667552,-0.13547735158043148,86,36.04651162790697
GOLD_RMDB_2022_2023_S0,GOLD_2022-2023,GOLD,2022-2023,RMDB,S0,-10.05404902511566,10.5966649898411,-1.074048066943566,-1.4548006982060773,75,40.0
GOLD_RMDB_2024_2025_S0,GOLD_2024-2025,GOLD,2024-2025,RMDB,S0,-7.704105536318321,9.75373711296106,-0.9606981523247575,-1.3395852962117913,58,31.03448275862069
AAPL_RMDB_2008_2009_S1,AAPL_2008-2009,AAPL,2008-2009,RMDB,S1,-0.17041117968516348,6.367749854337518,0.007740574227718161,0.010738480382191577,56,42.857142857142854
AAPL_RMDB_2020_2021_S1,AAPL_2020-2021,AAPL,2020-2021,RMDB,S1,-1.4346581821853988,9.087653254869256,-0.09831686542667552,-0.13547735158043148,96,41.66666666666667
AAPL_RMDB_2022_2023_S1,AAPL_2022-2023,AAPL,2022-2023,RMDB,S1,-10.05404902511566,10.5966649898411,-1.074048066943566,-1.4548006982060773,82,34.146341463414636
AAPL_RMDB_2024_2025_S1,AAPL_2024-2025,AAPL,2024-2025,RMDB,S1,-7.704105536318321,9.75373711296106,-0.9606981523247575,-1.3395852962117913,58,31.03448275862069
GOLD_RMDB_2008_2009_S1,GOLD_2008-2009,GOLD,2008-2009,RMDB,S1,-0.17041117968516348,6.367749854337518,0.007740574227718161,0.010738480382191577,61,36.0655737704918
GOLD_RMDB_2020_2021_S1,GOLD_2020-2021,GOLD,2020-2021,RMDB,S1,-1.4346581821853988,9.087653254869256,-0.09831686542667552,-0.13547735158043148,86,36.04651162790697
GOLD_RMDB_2022_2023_S1,GOLD_2022-2023,GOLD,2022-2023,RMDB,S1,-10.05404902511566,10.5966649898411,-1.074048066943566,-1.4548006982060773,75,40.0
GOLD_RMDB_2024_2025_S1,GOLD_2024-2025,GOLD,2024-2025,RMDB,S1,-7.704105536318321,9.75373711296106,-0.9606981523247575,-1.3395852962117913,58,31.03448275862069
AAPL_RMDB_2008_2009_S2,AAPL_2008-2009,AAPL,2008-2009,RMDB,S2,-0.17041117968516348,6.367749854337518,0.007740574227718161,0.010738480382191577,56,42.857142857142854
AAPL_RMDB_2020_2021_S2,AAPL_2020-2021,AAPL,2020-2021,RMDB,S2,-1.4346581821853988,9.087653254869256,-0.09831686542667552,-0.13547735158043148,96,41.66666666666667
AAPL_RMDB_2022_2023_S2,AAPL_2022-2023,AAPL,2022-2023,RMDB,S2,-10.05404902511566,10.5966649898411,-1.074048066943566,-1.4548006982060773,82,34.146341463414636
AAPL_RMDB_2024_2025_S2,AAPL_2024-2025,AAPL,2024-2025,RMDB,S2,-7.704105536318321,9.75373711296106,-0.9606981523247575,-1.3395852962117913,58,31.03448275862069
GOLD_RMDB_2008_2009_S2,GOLD_2008-2009,GOLD,2008-2009,RMDB,S2,-0.17041117968516348,6.367749854337518,0.007740574227718161,0.010738480382191577,61,36.0655737704918
GOLD_RMDB_2020_2021_S2,GOLD_2020-2021,GOLD,2020-2021,RMDB,S2,-1.4346581821853988,9.087653254869256,-0.09831686542667552,-0.13547735158043148,86,36.04651162790697
GOLD_RMDB_2022_2023_S2,GOLD_2022-2023,GOLD,2022-2023,RMDB,S2,-10.05404902511566,10.5966649898411,-1.074048066943566,-1.4548006982060773,75,40.0
GOLD_RMDB_2024_2025_S2,GOLD_2024-2025,GOLD,2024-2025,RMDB,S2,-7.704105536318321,9.75373711296106,-0.9606981523247575,-1.3395852962117913,58,31.03448275862069
AAPL_SVM_2008_2009_S0,AAPL_2008-2009,AAPL,2008-2009,SVM,S0,0.0,0.0,0.0,0.0,0,0.0
AAPL_SVM_2020_2021_S0,AAPL_2020-2021,AAPL,2020-2021,SVM,S0,0.0,0.0,0.0,0.0,0,0.0
AAPL_SVM_2022_2023_S0,AAPL_2022-2023,AAPL,2022-2023,SVM,S0,-16.5064,17.133,-2.3349,-2.8963,71,23.94
AAPL_SVM_2024_2025_S0,AAPL_2024-2025,AAPL,2024-2025,SVM,S0,0.0,0.0,0.0,0.0,0,0.0
GOLD_SVM_2008_2009_S0,GOLD_2008-2009,GOLD,2008-2009,SVM,S0,-0.1397,0.2251,-0.6179,-0.1845,2,50.0
GOLD_SVM_2020_2021_S0,GOLD_2020-2021,GOLD,2020-2021,SVM,S0,-0.6011,1.0819,-0.3457,-0.0589,2,50.0
GOLD_SVM_2022_2023_S0,GOLD_2022-2023,GOLD,2022-2023,SVM,S0,-6.1177,10.5745,-1.1183,-1.2066,48,31.25
GOLD_SVM_2024_2025_S0,GOLD_2024-2025,GOLD,2024-2025,SVM,S0,0.0,0.0,0.0,0.0,0,0.0
AAPL_SVM_2008_2009_S1,AAPL_2008-2009,AAPL,2008-2009,SVM,S1,0.0,0.0,0.0,0.0,0,0.0
AAPL_SVM_2020_2021_S1,AAPL_2020-2021,AAPL,2020-2021,SVM,S1,0.0,0.0,0.0,0.0,0,0.0
AAPL_SVM_2022_2023_S1,AAPL_2022-2023,AAPL,2022-2023,SVM,S1,-11.7124,12.5668,-1.6529,-2.0063,71,26.76
AAPL_SVM_2024_2025_S1,AAPL_2024-2025,AAPL,2024-2025,SVM,S1,0.0,0.0,0.0,0.0,0,0.0
GOLD_SVM_2008_2009_S1,GOLD_2008-2009,GOLD,2008-2009,SVM,S1,0.0221,0.1063,0.1065,0.0274,2,50.0
GOLD_SVM_2020_2021_S1,GOLD_2020-2021,GOLD,2020-2021,SVM,S1,-0.5009,1.0369,-0.2879,-0.0486,2,50.0
GOLD_SVM_2022_2023_S1,GOLD_2022-2023,GOLD,2022-2023,SVM,S1,-3.0835,8.3432,-0.5584,-0.6056,48,31.25
GOLD_SVM_2024_2025_S1,GOLD_2024-2025,GOLD,2024-2025,SVM,S1,0.0,0.0,0.0,0.0,0,0.0
AAPL_SVM_2008_2009_S2,AAPL_2008-2009,AAPL,2008-2009,SVM,S2,0.0,0.0,0.0,0.0,0,0.0
AAPL_SVM_2020_2021_S2,AAPL_2020-2021,AAPL,2020-2021,SVM,S2,0.0,0.0,0.0,0.0,0,0.0
AAPL_SVM_2022_2023_S2,AAPL_2022-2023,AAPL,2022-2023,SVM,S2,-12.9237,13.699,-1.8278,-2.2331,71,25.35
AAPL_SVM_2024_2025_S2,AAPL_2024-2025,AAPL,2024-2025,SVM,S2,0.0,0.0,0.0,0.0,0,0.0
GOLD_SVM_2008_2009_S2,GOLD_2008-2009,GOLD,2008-2009,SVM,S2,-0.0162,0.1368,-0.0758,-0.0187,2,50.0
GOLD_SVM_2020_2021_S2,GOLD_2020-2021,GOLD,2020-2021,SVM,S2,-0.5496,1.0487,-0.3175,-0.0538,2,50.0
GOLD_SVM_2022_2023_S2,GOLD_2022-2023,GOLD,2022-2023,SVM,S2,-4.8293,9.5875,-0.8775,-0.942,48,31.25
GOLD_SVM_2024_2025_S2,GOLD_2024-2025,GOLD,2024-2025,SVM,S2,0.0,0.0,0.0,0.0,0,0.0
AAPL_XGBOOST_2008_2009_S0,AAPL_2008-2009,AAPL,2008-2009,XGBoost,S0,-8.4121,12.0496,-0.9984,-1.3091,87,47.13
AAPL_XGBOOST_2020_2021_S0,AAPL_2020-2021,AAPL,2020-2021,XGBoost,S0,4.848,4.2871,0.5368,0.6497,101,62.38
AAPL_XGBOOST_2022_2023_S0,AAPL_2022-2023,AAPL,2022-2023,XGBoost,S0,-5.5425,8.3239,-0.732,-0.985,83,45.78
AAPL_XGBOOST_2024_2025_S0,AAPL_2024-2025,AAPL,2024-2025,XGBoost,S0,-1.5201,3.2686,-0.2349,-0.1795,44,40.91
GOLD_XGBOOST_2008_2009_S0,GOLD_2008-2009,GOLD,2008-2009,XGBoost,S0,-8.9419,10.8219,-1.2943,-1.6447,87,40.23
GOLD_XGBOOST_2020_2021_S0,GOLD_2020-2021,GOLD,2020-2021,XGBoost,S0,-0.8889,3.5373,-0.2,-0.2248,59,40.68
GOLD_XGBOOST_2022_2023_S0,GOLD_2022-2023,GOLD,2022-2023,XGBoost,S0,-9.3803,10.6218,-1.9133,-1.8493,74,39.19
GOLD_XGBOOST_2024_2025_S0,GOLD_2024-2025,GOLD,2024-2025,XGBoost,S0,-3.843,6.1517,-0.7536,-0.5346,60,46.67
AAPL_XGBOOST_2008_2009_S1,AAPL_2008-2009,AAPL,2008-2009,XGBoost,S1,-1.3747,8.3137,-0.144,-0.1866,86,56.98
AAPL_XGBOOST_2020_2021_S1,AAPL_2020-2021,AAPL,2020-2021,XGBoost,S1,14.8048,2.7836,1.54,1.929,99,70.71
AAPL_XGBOOST_2022_2023_S1,AAPL_2022-2023,AAPL,2022-2023,XGBoost,S1,1.4432,4.7473,0.2099,0.2759,83,51.81
AAPL_XGBOOST_2024_2025_S1,AAPL_2024-2025,AAPL,2024-2025,XGBoost,S1,1.7778,2.2877,0.3027,0.2255,44,52.27
GOLD_XGBOOST_2008_2009_S1,GOLD_2008-2009,GOLD,2008-2009,XGBoost,S1,-2.6477,7.0468,-0.3607,-0.4449,87,52.87
GOLD_XGBOOST_2020_2021_S1,GOLD_2020-2021,GOLD,2020-2021,XGBoost,S1,3.2198,1.9312,0.7498,0.7934,59,57.63
GOLD_XGBOOST_2022_2023_S1,GOLD_2022-2023,GOLD,2022-2023,XGBoost,S1,-3.244,4.8759,-0.6494,-0.644,73,50.68
GOLD_XGBOOST_2024_2025_S1,GOLD_2024-2025,GOLD,2024-2025,XGBoost,S1,-0.1301,4.3304,-0.0129,-0.0089,60,61.67
AAPL_XGBOOST_2008_2009_S2,AAPL_2008-2009,AAPL,2008-2009,XGBoost,S2,-2.7545,8.487,-0.3113,-0.4077,87,56.32
AAPL_XGBOOST_2020_2021_S2,AAPL_2020-2021,AAPL,2020-2021,XGBoost,S2,11.4976,3.9381,1.2021,1.4629,100,69.0
AAPL_XGBOOST_2022_2023_S2,AAPL_2022-2023,AAPL,2022-2023,XGBoost,S2,-0.2147,5.153,-0.0082,-0.0109,83,50.6
AAPL_XGBOOST_2024_2025_S2,AAPL_2024-2025,AAPL,2024-2025,XGBoost,S2,0.8289,2.4412,0.1502,0.1131,44,50.0
GOLD_XGBOOST_2008_2009_S2,GOLD_2008-2009,GOLD,2008-2009,XGBoost,S2,-4.355,7.7454,-0.6101,-0.759,87,49.43
GOLD_XGBOOST_2020_2021_S2,GOLD_2020-2021,GOLD,2020-2021,XGBoost,S2,1.4085,2.3589,0.3376,0.3675,59,49.15
GOLD_XGBOOST_2022_2023_S2,GOLD_2022-2023,GOLD,2022-2023,XGBoost,S2,-5.7377,7.0929,-1.1584,-1.1355,73,46.58
GOLD_XGBOOST_2024_2025_S2,GOLD_2024-2025,GOLD,2024-2025,XGBoost,S2,-2.0651,5.4152,-0.3958,-0.2768,60,56.67
